url	first_seen	portal	title	company	status
https://n26.com/en-eu/careers/positions/7861428?gh_jid=7861428	2026-05-12	greenhouse-api	Product Manager - Data Governance & Analytics Engineering	N26	added
https://n26.com/en-eu/careers/positions/7861809?gh_jid=7861809	2026-05-12	greenhouse-api	Product Manager - Lending	N26	added
https://n26.com/en-eu/careers/positions/7704226?gh_jid=7704226	2026-05-12	greenhouse-api	(Senior) Product Manager - Onboarding & KYC	N26	added
https://n26.com/en-eu/careers/positions/7140058?gh_jid=7140058	2026-05-12	greenhouse-api	Senior Product Manager - Payments Platform (Backend)	N26	added
https://n26.com/en-eu/careers/positions/7649873?gh_jid=7649873	2026-05-12	greenhouse-api	Senior Product Manager - Runtime Platform	N26	added
https://job-boards.greenhouse.io/celonis/jobs/7722853003?gh_jid=7722853003	2026-05-12	greenhouse-api	Client Account Lead - AI-Driven Transformation & Process Intelligence	Celonis	added
https://job-boards.greenhouse.io/celonis/jobs/7718201003?gh_jid=7718201003	2026-05-12	greenhouse-api	Client Account Lead - Strategy Transformation	Celonis	added
https://job-boards.greenhouse.io/celonis/jobs/7696087003?gh_jid=7696087003	2026-05-12	greenhouse-api	Client Engagement Partner - AI-Driven Transformation & Process Intelligence	Celonis	added
https://job-boards.greenhouse.io/celonis/jobs/7714520003?gh_jid=7714520003	2026-05-12	greenhouse-api	Client Value Partner - AI-Driven Transformation & Process Intelligence	Celonis	added
https://job-boards.greenhouse.io/celonis/jobs/7669258003?gh_jid=7669258003	2026-05-12	greenhouse-api	Client Value Partner (CVP) - AI-Driven Transformation & Process Intelligence	Celonis	added
https://job-boards.greenhouse.io/celonis/jobs/7544126003?gh_jid=7544126003	2026-05-12	greenhouse-api	Manager, Value Engineering - Public Sector Transformation	Celonis	added
https://job-boards.greenhouse.io/celonis/jobs/7586202003?gh_jid=7586202003	2026-05-12	greenhouse-api	Senior Business Transformation & Process Optimisation Consultant 	Celonis	added
https://job-boards.greenhouse.io/celonis/jobs/7594944003?gh_jid=7594944003	2026-05-12	greenhouse-api	Senior Consultant - Data Analytics and Supply Chain Transformation	Celonis	added
https://job-boards.greenhouse.io/celonis/jobs/7638119003?gh_jid=7638119003	2026-05-12	greenhouse-api	Senior Product Manager - Celonis Labs	Celonis	added
https://job-boards.greenhouse.io/celonis/jobs/7687708003?gh_jid=7687708003	2026-05-12	greenhouse-api	Senior Product Manager - Extractors (Data Integration)	Celonis	added
https://traderepublic.com/en-de/about?jobId=6067355003&gh_jid=6067355003	2026-05-12	greenhouse-api	Product Operations Associate/Manager	Trade Republic	added
https://traderepublic.com/en-de/about?jobId=5614731003&gh_jid=5614731003	2026-05-12	greenhouse-api	Senior Technical Product Manager	Trade Republic	added
https://traderepublic.com/en-de/about?jobId=6551435003&gh_jid=6551435003	2026-05-12	greenhouse-api	Senior Technical Product Manager - Banking infra	Trade Republic	added
https://jobs.ashbyhq.com/n8n/8b2ece44-e693-4e55-b21e-34848f1aad0a	2026-05-12	ashby-api	Product Marketing Manager (Enterprise) 	n8n	added
https://job-boards.greenhouse.io/contentful/jobs/7658079	2026-05-12	greenhouse-api	Senior Product Manager (f/m/d)	Contentful	added
https://job-boards.greenhouse.io/contentful/jobs/7776379	2026-05-12	greenhouse-api	Senior Product Operations Manager (f/m/d)	Contentful	added
https://careers.hellofresh.com/global/en/job/7597827?gh_jid=7597827	2026-05-12	greenhouse-api	Lead Product Operations (all genders)	HelloFresh	added
https://careers.hellofresh.com/global/en/job/7795996?gh_jid=7795996	2026-05-12	greenhouse-api	Product Analyst (all genders) 	HelloFresh	added
https://careers.hellofresh.com/global/en/job/7721611?gh_jid=7721611	2026-05-12	greenhouse-api	Product Analyst (All Genders)	HelloFresh	added
https://careers.hellofresh.com/global/en/job/7912372?gh_jid=7912372	2026-05-12	greenhouse-api	Product Operations Assistant   	HelloFresh	added
https://careers.hellofresh.com/global/en/job/7900855?gh_jid=7900855	2026-05-12	greenhouse-api	Product Operations Specialist (12 months contract)	HelloFresh	added
https://careers.hellofresh.com/global/en/job/7653269?gh_jid=7653269	2026-05-12	greenhouse-api	Senior Product Analyst	HelloFresh	added
https://careers.hellofresh.com/global/en/job/7824418?gh_jid=7824418	2026-05-12	greenhouse-api	Senior Product Manager II, Personalisation & Data	HelloFresh	added
https://careers.hellofresh.com/global/en/job/7906733?gh_jid=7906733	2026-05-12	greenhouse-api	Senior Product Marketing Manager (all genders) 	HelloFresh	added
https://careers.hellofresh.com/global/en/job/7784812?gh_jid=7784812	2026-05-12	greenhouse-api	Senior Product Operations Specialist (12 Months Contract)	HelloFresh	added
https://careers.hellofresh.com/global/en/job/7539972?gh_jid=7539972	2026-05-12	greenhouse-api	Staff Product Analyst, Growth 	HelloFresh	added
https://careers.hellofresh.com/global/en/job/7594595?gh_jid=7594595	2026-05-12	greenhouse-api	Staff Product Manager, Growth 	HelloFresh	added
https://getyourguide.careers/jobs/7657103?gh_jid=7657103	2026-05-12	greenhouse-api	Lead Product Manager, Paid Search	GetYourGuide	added
